pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim
SrI2O,mp-1179200,62,-3.8349562425,4.446630096658955,-1.5891632544791667,533.9087886135981,1.9014,4.454761,13.570569,3.0,-1.0
Tl2Sn(GeO3)3,mp-1179240,165,-5.8739751426666675,6.217674171885544,-1.8197784360833336,1425.1652231326736,2.4616,10.777178999999999,12.357048447056439,3.0,-1.0
Rb8(GaH3)5,mp-1179380,203,-2.8191712064285714,2.9116925068708754,-0.2627140630999999,1194.7522930329608,2.8354,11.910526421296082,11.910526421296082,3.0,-1.0
NaSeO3,mp-1180453,15,-5.021289466000001,2.4874612212149927,-1.5117774458854172,800.7986900801808,3.0887,10.878386336700173,11.806378554402276,2.0,1.0
K2HgCl4,mp-1180946,55,-2.7990801632142857,3.2478663661424223,-1.7219541395057143,860.159043411382,2.3538,7.89248,12.004753,3.0,-1.0
K2Pt(NO2)4,mp-1181207,14,-6.095201933333333,2.826175276155002,-1.1574073930346669,1074.765374907491,2.2285000000000004,7.969403999999999,13.692658999999999,3.0,-1.0
Cs3Li2I5,mp-1181918,12,-2.8182557145,3.706671553381549,-1.4058441220459772,938.1920217205864,3.7483,12.128497529916885,15.766119847496565,3.0,-1.0
BaSnHgS4,mp-1183390,34,-4.108672190357144,4.696678158305298,-1.2337889735714285,827.1613939132862,1.8559,6.735264999999999,11.13522,3.0,-1.0
B4H5,mp-1183667,14,-4.9263872679861125,0.98126689237535,-0.1579150024046293,1307.3217205714175,2.8479,5.871894999999999,16.546381987175597,0.0,1.0
Cs2HgBr4,mp-1183950,14,-2.500843049642857,4.123826991056265,-1.266244296908867,1266.0199165470426,2.4681,7.942222,16.67023700172334,3.0,-1.0
CsLi3I4,mp-1184020,6,-2.889852176875,3.5917645517866075,-1.3000744978663792,611.505239187407,3.7509,4.6804239999999995,11.678025476032882,3.0,-1.0
ScI3,mp-1186991,194,-3.91532258625,3.036565389314382,-1.1891958487499998,465.55265440454133,1.7014,3.8153129999999997,11.870089579797867,1.0,1.0
Cs3ZnBr5,mp-1188115,140,-2.893875291111111,3.756444601011864,-1.5460326881992341,763.5501146169963,3.6631,10.449025573254332,10.449025573254332,3.0,-1.0
TlBr3,mp-1188193,62,-2.211278654375,2.8647638316820765,-0.393170504375,1029.6661620590937,1.9392,6.816239,13.827353,0.0,1.0
Cs3CdBr5,mp-1188465,140,-2.823003136666667,3.822120307593931,-1.512588739310345,791.2704929938542,3.0743,10.716004081486766,10.716004081486766,3.0,-1.0
Ba2P7I,mp-1188687,11,-5.044239642,3.706353987437672,-0.7187441115000006,554.094683521044,1.9866,6.460412,12.249425514778476,3.0,-1.0
CsS3,mp-1188913,2,-3.868736334375,2.8172984264709147,-1.0401433412015084,540.1348284316613,1.6787,4.839427,11.82428631102161,3.0,-1.0
BiI3,mp-1189196,62,-2.57128030125,4.227851617394497,-0.4557622625,926.4370630307563,2.7885,7.782708,15.230125,1.0,1.0
TlBi2Cl7,mp-1189438,2,-3.3078417335,4.583900606712364,-1.4159738897819998,630.6961933242943,3.3238000000000003,7.184245,11.00165271788639,2.0,1.0
PBr3O,mp-1189731,33,-3.851648914,2.6693273112703166,-0.9377027239642856,713.3661118373668,3.2974,6.5642270000000025,10.600444,0.0,1.0
CsLiI2,mp-1190087,36,-2.82870081875,3.841100808698036,-1.3656132015660918,680.7216884778944,3.7315,10.550659694978792,13.573601000000002,3.0,-1.0
CsHf2Br9,mp-1190089,13,-4.490122945416666,4.384345434681508,-1.5282797010775866,915.8162298784482,3.1447000000000003,7.094125,13.589557618521841,3.0,-1.0
Na2In2SiS6,mp-1190138,9,-4.331797848181818,2.8849141197655848,-1.2048955650378788,571.0939847221404,2.5139,7.296409436360394,12.380627837531419,3.0,-1.0
Na2TeS3,mp-1190141,14,-3.69958850125,2.904618695480478,-1.0009926739236108,616.9087338725751,1.7919,5.859269,12.366417,3.0,-1.0
Na2In2GeS6,mp-1190145,9,-4.162245428181818,3.0851529070957584,-1.10827825094697,581.9893308348177,2.4907000000000004,7.362579525021716,12.463126190305426,3.0,-1.0
Na2Cd(GeS3)2,mp-1190146,9,-4.0959153045454535,2.96305800606685,-1.0380799314015154,555.9985001919881,2.2385,7.437317588940249,11.744967270240688,3.0,-1.0
RbHf2Br9,mp-1190209,13,-4.477564300416667,4.34600433826813,-1.508626747708334,887.6453537081944,3.1699,7.033739999999999,13.373738418419626,2.0,1.0
Na2Ga2GeS6,mp-1190388,43,-4.27968773,2.7892462233673787,-1.1754638668560604,536.3449187660344,2.6215,7.313665063626852,13.118942079164768,3.0,-1.0
Na2Zn(GeS3)2,mp-1190399,9,-4.160373542272727,2.801273488303176,-1.0719150918560605,532.3858949030106,2.5041,7.287815640250307,11.653360991146931,3.0,-1.0
