,pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim,is_uv
84,TcF6,mp-1025373,229,-5.024222698571426,2.735866659953804,-2.3265197395914283,128.66795665855102,0.0,5.508467164073414,5.508467164073414,0.0,1.0,-1
85,ReF6,mp-1025374,229,-5.4982779342857135,3.725247730195509,-2.50287393602,133.81379665935268,0.0,5.580943098065326,5.580943098065326,0.0,1.0,-1
86,SrCu,mp-1025402,194,-2.99994808625,4.000956388487638,-0.105604124583333,250.95704543436932,0.0,4.343767622286556,15.358032000000001,2.0,1.0,-1
87,IrI3,mp-1025442,12,-3.50932165125,6.3451705815349815,-0.1567045850000004,299.87320782730023,1.3977000000000004,6.9526130563708195,7.472615508240002,2.0,1.0,-1
88,HfTe3,mp-1025459,11,-5.4547899775,7.631486817172768,-0.6080170674999996,244.26274853664955,0.0,4.0030480000000015,10.565125874746832,2.0,1.0,-1
89,NbCl2O,mp-1025567,5,-6.4432430075,3.2562050475209245,-2.2295748919425,183.3941542177809,0.9322,6.768331418061619,7.324903109339397,2.0,1.0,-1
90,NiTe,mp-10264,166,-4.6524429075,7.171055075228673,-0.19072410249999994,86.27669577335544,0.0,7.0581178945608425,7.058117942278522,2.0,1.0,-1
91,Na2HfN2,mp-1029309,164,-6.605423434,4.920092051008916,-0.9071359022853328,85.21340226609672,0.0,3.310813972975528,8.976514,2.0,1.0,-1
92,NaRuN,mp-1029313,186,-6.269998896666666,5.067955908196289,-0.08949421023777641,90.47622756787763,0.4636999999999993,3.2296697697753864,10.015845,2.0,1.0,-1
93,Na2ZrN2,mp-1029316,164,-6.2300438300000005,3.1631042321503933,-0.8136539422853339,86.73415758936892,0.0,3.3572860313762365,8.88552,2.0,1.0,-1
94,Ca(InN)2,mp-1029479,166,-5.1252496,6.0883503842659925,-0.44246725695199984,81.2022875974553,0.5477999999999996,8.132558980317143,8.132559176014645,2.0,1.0,-1
95,Cs2CN2,mp-1029699,2,-5.971697360666669,3.4693313896025906,-0.5871913967910795,439.1488572688642,2.2801,5.8669400000000005,12.985055966703491,1.0,1.0,-1
96,Zn(ReO4)2,mp-10326,147,-7.5778749763636375,4.777768993269658,-2.1129548190909087,196.65312973834327,4.0065,5.811486424579687,6.7235059999999995,2.0,1.0,1
97,MgBi2,mp-1038896,12,-3.141869041666667,8.205855847321613,-0.015086151666666938,178.99403849771744,0.0,6.894823625945264,7.9299887612299935,2.0,1.0,-1
98,Ca2Mg,mp-1039317,63,-1.9009197366666664,1.6596493535433332,-0.03042646666666648,209.03399994193242,0.0,5.916778,9.632756023010495,2.0,1.0,-1
99,Ca2Mg,mp-1039397,12,-1.88837373,1.6381250861982382,-0.017880459999999758,211.78061785095105,0.0,7.243748170327567,8.331317349852062,2.0,1.0,-1
100,Ca2Mg,mp-1039421,63,-1.8346391766666663,1.617372320756599,0.035854093333333566,214.49800915964488,0.0,6.010665,9.635474876578217,2.0,1.0,-1
101,Ca2Mg,mp-1039467,12,-1.9101002916666667,1.6497980777513097,-0.03960702166666656,210.28218395372642,0.0,7.312163607449713,8.139580288592896,2.0,1.0,-1
102,Tl2SnF6,mp-10401,164,-4.487843493333333,6.4804735364534585,-2.5704903135711112,164.36777950334618,4.4844,4.96526,6.182612819483037,0.0,1.0,1
103,TiTl2F6,mp-10402,164,-5.426557578888889,6.057885964760943,-3.0774354922748146,156.41487504614997,3.9155,4.951724,6.0394234732613326,0.0,1.0,1
104,C,mp-1040425,191,-9.219185055,0.37811414066880783,0.007595645000000317,105.4932065324787,0.00010000000000021103,2.4680302794645765,19.998293,2.0,1.0,-1
105,Si3H,mp-1040468,166,-4.8691053225,1.9414625580933305,0.0098143578449994,145.8538904307475,0.9481000000000002,11.429072575975225,11.42907292216254,2.0,1.0,-1
106,Mn(SbS2)2,mp-10412,12,-5.195149134285714,4.112836594908207,-0.722053646022167,344.5709392018729,0.6915000000000004,6.621774949469741,15.5027889181854,2.0,1.0,-1
107,CrSe2,mp-1061769,12,-5.986795253333334,2.8707087230694768,-0.4385051115625001,121.42433049968338,0.0,3.4512682655634,11.792887964464006,2.0,1.0,-1
108,TiS2,mp-1062030,12,-6.658735466666666,1.6281554894906718,-1.7115782165277775,114.22459036770374,0.04970000000000002,3.4200757805303086,11.327305589918993,2.0,1.0,-1
109,CoO2,mp-1062939,166,-5.7364124133333325,4.2237988842574685,-1.161196169166666,142.99556796054273,1.1238,4.906542654330033,5.676796384363808,2.0,1.0,-1
110,PbSe,mp-1063670,63,-4.11348064,7.9527456205155875,-0.5092013661718746,119.50083203276138,0.9241,4.4971309999999995,6.502503008554244,2.0,1.0,-1
111,SnS,mp-1064497,2,-4.4593905425,2.715190006199353,-0.7181096815625008,184.42007903312282,1.4941,4.105180000000002,11.041095025696723,2.0,1.0,-1
112,ZrBr,mp-1065846,12,-6.0962647375,5.386349173186648,-1.0039511525000009,105.51292545373863,0.0066000000000006045,3.5286215475522447,10.113478291844256,2.0,1.0,-1
113,YI,mp-1065933,164,-4.857251745,4.773036068056478,-0.8620098808333334,150.1608042452391,0.0,3.955973150679615,11.079476,2.0,1.0,-1
114,BrCl,mp-1066781,36,-1.7953046475,2.4190804716382606,-0.34991588913000005,158.36993217183095,1.8328,4.746631664881635,7.821122999999999,1.0,1.0,-1
115,ZrBr,mp-1066783,164,-6.0302092475,5.4892915499067305,-0.9378956625000008,103.53420903429807,0.0,3.4513376665398883,10.036408,2.0,1.0,-1
116,H2,mp-1066989,65,-3.340260065,0.2170027119837974,4.440892098500626e-16,15.425832529814405,6.4533000000000005,2.607236440224783,2.6089580000000003,0.0,1.0,1
117,PbS,mp-1067627,12,-4.39858281,2.651186294135805,-0.8057643415625,299.72158550220473,2.0879,4.244495412434794,16.686755528784047,2.0,1.0,-1
118,Bi,mp-1067758,11,-3.804174895,9.895899999797473,0.08585941499999983,140.26823971980178,0.0,4.577571,6.812139182934241,2.0,1.0,-1
119,F2,mp-1067793,15,-1.6342449275,2.697421839272925,0.0,46.781842212891576,0.0,3.0974860667969115,5.529072070118097,1.0,1.0,-1
120,PbS,mp-1067933,12,-4.3995307775,3.9168525170193615,-0.8067123090625001,202.87150360840863,2.2622,4.245334763957725,11.312144976437759,2.0,1.0,-1
121,ZrCl,mp-1067974,164,-6.4225544225,4.470560799827823,-1.5217786191300011,94.10546763967042,0.0,3.361667231758224,9.615563,2.0,1.0,-1
122,In2Te3,mp-1068510,166,-3.215390572,6.344848636998901,-0.2287365219999998,160.28339870267789,0.0,10.105803403361113,10.105803535608636,2.0,1.0,-1
123,GeS2,mp-1071032,137,-4.572270873333333,3.1621417443732787,-0.7159350104166666,143.64436922728424,1.604,3.53275,11.509668,2.0,1.0,-1
124,CsMnAs,mp-1071293,129,-5.104931028333334,4.772657084539082,-0.1995219458620697,182.84645262064672,0.0,4.499593,9.031088,2.0,1.0,-1
125,AlPS4,mp-1071955,23,-4.873079885,1.70984775351459,-1.031276358511904,180.8452131538411,2.7826000000000004,6.609985858626553,6.609985858626553,1.0,1.0,-1
126,TiNF,mp-1071956,59,-8.236234923333333,2.8110962917939206,-2.480063477301112,95.54371164995415,0.6581,3.062004,7.870825999999999,2.0,1.0,-1
127,TaS2,mp-1072086,194,-7.756305505,4.7490320730269815,-1.4883863837500009,171.38709018661737,0.0,3.344623696798341,17.691022,2.0,1.0,-1
128,NbSe2,mp-1072113,194,-6.5369170883333325,5.6985080084390844,-0.8392077565625004,146.18107136360598,0.0,3.488132066031474,13.873137,2.0,1.0,-1
129,NbS2,mp-1072712,194,-7.135410988333334,3.0389349058108723,-1.452982730416667,171.61607730973333,0.0,3.3687221469753186,17.462120000000002,2.0,1.0,-1
130,Ba3N,mp-10736,193,-3.83391573,3.8444986500611233,-0.4065695605949999,367.990358238172,0.0,7.098638,7.736871395662784,1.0,1.0,-1
131,HgO,mp-1077107,154,-2.91844192,9.970012724699668,-0.643769003125,108.22107354600836,1.2835,3.747305833936296,8.899035000000003,1.0,1.0,-1
132,Li2Tl,mp-1077191,63,-2.29595093,6.248510312478503,-0.2361180255555556,116.00782887702593,0.0,4.863936,5.591687136546626,2.0,1.0,-1
133,TiS2,mp-1077263,12,-6.65781893,2.1403045267073897,-1.7106616798611114,173.78404943907842,0.0,3.4167604456189196,17.329969245286616,2.0,1.0,-1
134,BPt2,mp-1077788,194,-6.449458236666668,16.98531080327785,-0.17572250638888912,78.40201478770777,0.0,2.9516962422715514,10.390903,2.0,1.0,-1
135,Mn(BiTe2)2,mp-1077840,166,-4.3966993542857145,7.266322804041264,-0.1802738099507388,224.7087268621001,0.5230999999999995,13.871339367994715,13.871339741686814,2.0,1.0,-1
136,CdPb2(ClO)2,mp-1077904,12,-4.3207366785714285,6.4392478334625975,-1.5568485655742852,162.38972529078478,2.5527,6.608434004847517,7.841186214312028,2.0,1.0,-1
137,CO2,mp-1077906,64,-7.655268926666667,1.7900485053472206,-1.7492317141666665,81.65085340786034,6.7907,3.4674812438196403,6.8146949999999995,0.0,1.0,1
138,Na5Sn2,mp-1077925,166,-2.265239992857143,2.972500094723224,-0.1806107366666667,196.8451527852539,0.0,8.215035428801814,8.215035686046713,2.0,1.0,-1
139,ReCl6,mp-1078114,148,-3.897288435714286,3.4433522967466748,-1.044769429222857,192.37954471556046,0.0,6.736243101066942,6.7362433882339054,0.0,1.0,-1
140,Mn(InSe2)2,mp-1078140,160,-4.533608338571429,4.837884419632603,-0.4409340755757393,206.0840837395501,0.0,13.632198205049471,13.632198872089267,2.0,1.0,-1
141,SiBr3,mp-1078181,12,-3.36156285,2.9104210522897964,-0.77753944,305.58342088540866,3.9443,6.879273367647487,7.839676152378553,0.0,1.0,1
142,SiI3,mp-1078195,148,-2.87182719,3.2068382887643088,-0.37248922375000015,423.36189063033135,2.9565,9.219859946945236,9.219859998726063,0.0,1.0,-1
143,H3CBr,mp-1078197,36,-4.3817755830000005,2.0025486564890858,-0.2651921381720001,157.44848033962828,4.5527,4.470543983833847,8.082275,0.0,1.0,1
144,H3CCl,mp-1078233,36,-4.502237299,1.3164952313334533,-0.46226896682400004,127.36316446939564,5.5813000000000015,4.1377638420041585,7.651655,0.0,1.0,1
145,WBr4,mp-1078239,12,-4.372311693,5.113053780580443,-0.4711451670000002,327.00941245302687,0.21120000000000005,7.6174022274146065,9.155296662687563,1.0,1.0,-1
146,SbN(OF3)2,mp-1078298,65,-4.993065772,3.0125148252329947,-2.0834552552020003,155.30768750364808,3.0997000000000003,5.275006942905859,5.6183190000000005,0.0,1.0,1
147,Bi2Pt,mp-1078313,157,-4.8379187733333335,12.610850871702885,-0.2209266633333332,242.16879186008208,0.0,6.321219,6.651098146306442,2.0,1.0,-1
148,Sb2Te3,mp-1078331,12,-3.612214113,6.0957461060964695,-0.07463305899999995,341.2310191701586,0.06769999999999943,8.329107164121975,9.889880870598393,1.0,1.0,-1
149,Bi2S2O,mp-1078366,129,-4.862854823999999,7.341941760049852,-1.0685120595000002,225.3077626660419,1.1660999999999992,3.978733,14.232676000000001,2.0,1.0,-1
150,As2Se3,mp-1078443,12,-4.079412627,5.001776391564579,-0.11821837840624952,256.77636555027664,0.625,7.330394884741478,9.625137920815993,1.0,1.0,-1
151,PbS,mp-1078500,62,-4.42439926625,7.205432386637317,-0.8315807978125003,220.56074275673998,1.9001,4.2637230000000015,12.084667,2.0,1.0,-1
152,Li2H6Pt,mp-1078552,225,-3.71613102888889,4.64031291551786,-0.4575562053762966,76.94277424220273,3.0845,4.7741304281303405,4.7741304281303405,0.0,1.0,1
153,H4W,mp-1078595,129,-5.167986948999999,8.617453511993526,0.015427674104000031,72.40384797126215,0.1987000000000001,3.0875790000000003,7.59496,2.0,1.0,-1
154,TlInS2,mp-1078621,140,-3.85268349375,5.865431013978674,-0.8378543828125,217.0468283007851,1.2865000000000002,6.597040774867621,6.597040774867621,1.0,1.0,-1
155,SrBiS2F,mp-1078631,129,-4.928112103,5.3543343461732364,-2.1389030168213337,235.530496102666,1.1263,4.065045,14.253333,2.0,1.0,-1
156,Tl2SnHgSe4,mp-1078676,121,-3.2272279075,7.180729472948215,-0.34970239617187504,241.40272902801232,0.8885000000000001,6.82916387969252,6.82916387969252,1.0,1.0,-1
157,TcCl3,mp-1078708,12,-4.59333935875,3.5679258661261413,-1.062796148695,190.2203778016009,0.0,5.739978775084975,6.6786257044400985,2.0,1.0,-1
158,NbSe4,mp-1078815,124,-5.3385926580000005,5.8344993485826695,-0.5216024678750003,232.6641213821405,0.0,5.970832,6.52619,1.0,1.0,-1
159,Mg(BrO3)2,mp-1078861,12,-4.321912004444445,3.117394254068628,-0.949898010833334,149.2055748209659,4.1945,5.036645284713328,6.362873797433437,2.0,1.0,1
160,Mn2Ga2S5,mp-1078896,164,-5.6068514688888875,3.6859296892190048,-0.9685677711039276,184.5490971934785,0.0,3.7279549802197183,15.333456,2.0,1.0,-1
161,VPS3,mp-1078971,12,-5.859153226,2.9157477222447907,-0.8759209195892858,202.8701221007288,0.14369999999999994,5.946927225018063,6.922391670218322,2.0,1.0,-1
162,Sr(InP)2,mp-1078973,194,-4.19145749,4.674834221628704,-0.5875734027619046,269.39234032346513,0.1833,4.152665783985632,18.038509,2.0,1.0,-1
163,PbSe,mp-1079172,62,-4.1123395375,7.307260615203588,-0.5080602636718745,260.1138151879188,1.6543,4.415184,13.219818,2.0,1.0,-1
